chamber,district,party,full_name,floor_subscore,committee_subscore,sponsorship_subscore,composite_score,grade
house,1,D,"Dontavius L. Jarrells",5,5,3,96,A+
house,2,D,"Latyna M. Humphrey",5,5,0,90,A
house,3,D,"Ismail Mohamed",5,5,0,90,A
house,4,D,"Beryl Brown Piccolantonio",5,5,2,94,A
house,5,D,"Meredith R. Lawson-Rowe",5,5,0,90,A
house,6,D,"Christine Cockley",5,5,0,90,A
house,7,D,"C. Allison Russo",5,5,0,90,A
house,8,D,"Anita Somani",5,5,1,92,A
house,9,D,"Munira Abdullahi",5,5,1,92,A
house,10,D,"Mark Sigrist",5,5,0,90,A
house,11,D,"Crystal Lett",5,5,4,98,A+
house,12,R,"Brian Stewart",-5,-5,-2,6,F
house,13,D,"Tristan Rader",5,5,3,96,A+
house,14,D,"Sean P. Brennan",5,5,0,90,A
house,15,D,"Chris Glassburn",5,5,0,90,A
house,16,D,"Bride Rose Sweeney",5,5,1,92,A
house,17,R,"Michael D. Dovilla",-5,-5,0,10,F
house,18,D,"Juanita O. Brent",5,5,0,90,A
house,19,D,"Phillip M. Robinson, Jr.",5,5,0,90,A
house,20,D,"Terrence Upchurch",5,5,0,90,A
house,21,D,"Eric Synenberg",5,5,0,90,A
house,22,D,"Darnell T. Brewer",5,5,1,92,A
house,23,D,"Daniel P. Troy",5,5,0,90,A
house,24,D,"Dani Isaacsohn",5,5,0,90,A
house,25,D,"Cecil Thomas",5,5,0,90,A
house,26,D,"Ashley Bryant Bailey",5,5,0,90,A
house,27,D,"Rachel B. Baker",5,5,0,90,A
house,28,D,"Karen Brownlee",5,5,5,100,A+
house,29,R,"Cindy Abrams",-5,-5,0,10,F
house,30,R,"Mike Odioso",-5,-5,0,10,F
house,31,R,"Bill Roemer",-5,-5,0,10,F
house,32,R,"Jack K. Daniels",-5,-5,0,10,F
house,33,D,"Veronica R. Sims",5,5,0,90,A
house,34,D,"Derrick Hall",5,5,0,90,A
house,35,R,"Steve Demetriou",-5,-5,0,10,F
house,36,R,"Andrea White",-5,-5,0,10,F
house,37,R,"Tom Young",-5,-5,-1,8,F
house,38,D,"Desiree Tims",5,5,0,90,A
house,39,R,"Phil Plummer",-5,-5,0,10,F
house,40,R,"Rodney Creech",-5,-5,-2,6,F
house,41,D,"Erika White",5,5,0,90,A
house,42,D,"Elgin Rogers, Jr.",5,5,0,90,A
house,43,D,"Michele Grim",5,5,2,94,A
house,44,R,"Josh Williams",-5,-5,-5,0,F
house,45,R,"Jennifer Gross",-5,-5,0,10,F
house,46,R,"Thomas Hall",-5,-5,0,10,F
house,47,R,"Diane Mullins",-5,-5,0,10,F
house,48,R,"Scott Oelslager",-5,-5,0,10,F
house,49,R,"Jim Thomas",-5,-5,0,10,F
house,50,R,"Matthew Kishman",-5,-5,0,10,F
house,51,R,"Jodi Salvo",-5,-5,0,10,F
house,52,R,"Gayle Manning",-5,-5,0,10,F
house,53,D,"Joseph A. Miller, III",5,5,1,92,A
house,54,R,"Kellie Deeter",-5,-5,0,10,F
house,55,R,"Michelle Teska",-5,-5,0,10,F
house,56,R,"Adam Mathews",-5,-5,0,10,F
house,57,R,"Jamie Callender",3,-5,0,42,C
house,58,D,"Lauren McNally",5,5,0,90,A
house,59,R,"Tex Fischer",-5,-5,0,10,F
house,60,R,"Brian Lorenz",-5,-5,0,10,F
house,61,R,"Beth Lear",-5,-5,-4,2,F
house,62,R,"Jean Schmidt",-5,-5,0,10,F
house,63,R,"Adam C. Bird",-5,-5,0,10,F
house,64,R,"Nick Santucci",-5,-5,0,10,F
house,65,R,"David Thomas",-5,-5,0,10,F
house,66,R,"Sharon A. Ray",-5,-5,0,10,F
house,67,R,"Melanie Miller",-5,-5,0,10,F
house,68,R,"Thaddeus J. Claggett",-5,-5,0,10,F
house,69,R,"Kevin D. Miller",-5,-5,0,10,F
house,70,R,"Brian Lampton",-5,-5,0,10,F
house,71,R,"Levi Dean",-5,-5,0,10,F
house,72,R,"Heidi Workman",-5,-5,0,10,F
house,73,R,"Jeff LaRe",-5,-5,0,10,F
house,74,R,"Bernard Willis",-5,-5,0,10,F
house,75,R,"Haraz N. Ghanbari",-5,-5,0,10,F
house,76,R,"Marilyn John",-5,-5,0,10,F
house,77,R,"Meredith Craig",-5,-5,0,10,F
house,78,R,"Matt Huffman",-5,-5,0,10,F
house,79,R,"Monica Robb Blasdel",-5,-5,0,10,F
house,80,R,"Johnathan Newman",-5,-5,-4,2,F
house,81,R,"James M. Hoops",-5,-5,0,10,F
house,82,R,"Roy Klopfenstein",-5,-5,0,10,F
house,83,R,"Ty D. Mathews",-5,-5,0,10,F
house,84,R,"Angela N. King",-5,-5,-3,4,F
house,85,R,"Tim Barhorst",-5,-5,0,10,F
house,86,R,"Tracy M. Richardson",-5,-5,0,10,F
house,87,R,"Riordan T. McClain",-5,-5,0,10,F
house,88,R,"Gary Click",-5,-5,-4,2,F
house,89,R,"D. J. Swearingen",-5,-5,0,10,F
house,90,R,"Justin Pizzulli",-5,-5,0,10,F
house,91,R,"Bob Peterson",-5,-5,0,10,F
house,92,R,"Mark Johnson",-5,-5,0,10,F
house,93,R,"Jason Stephens",-5,-5,0,10,F
house,94,R,"Kevin Ritter",-5,-5,-2,6,F
house,95,R,"Ty Moore",-5,-5,0,10,F
house,96,R,"Ron Ferguson",-5,-5,0,10,F
house,97,R,"Adam Holmes",-5,-5,0,10,F
house,98,R,"Mark Hiner",-5,-5,0,10,F
house,99,R,"Sarah Fowler Arthur",-5,-5,0,10,F
senate,1,R,"Rob McColley",-5,-5,0,10,F
senate,2,R,"Theresa Gavarone",-5,-5,0,10,F
senate,3,R,"Michele Reynolds",-5,-5,0,10,F
senate,4,R,"George F. Lang",-5,-5,0,10,F
senate,5,R,"Stephen A. Huffman",-5,-5,0,10,F
senate,6,D,"Willis E. Blackshear, Jr.",5,5,0,90,A
senate,7,R,"Steve Wilson",-5,-5,0,10,F
senate,8,R,"Louis W. Blessing, III",-3,-5,0,18,D
senate,9,D,"Catherine D. Ingram",5,5,1,92,A
senate,10,R,"Kyle Koehler",-5,-5,0,10,F
senate,11,D,"Paula Hicks-Hudson",5,5,0,90,A
senate,12,R,"Susan Manchester",-5,-5,0,10,F
senate,13,R,"Nathan H. Manning",-5,-5,0,10,F
senate,14,R,"Terry Johnson",-5,-5,-2,6,F
senate,15,D,"Hearcel F. Craig",5,5,1,92,A
senate,16,D,"Beth Liston",5,5,1,92,A
senate,17,R,"Shane Wilkin",-5,-5,0,10,F
senate,18,R,"Jerry C. Cirino",-5,-5,-4,2,F
senate,19,R,"Andrew O. Brenner",-5,-5,-5,0,F
senate,20,R,"Tim Schaffer",-5,-5,-2,6,F
senate,21,D,"Kent Smith",5,5,0,90,A
senate,22,R,"Mark Romanchuk",-5,-5,0,10,F
senate,23,D,"Nickie J. Antonio",5,5,5,100,A+
senate,24,R,"Thomas F. Patton",-5,-5,0,10,F
senate,25,D,"William P. DeMora",5,5,0,90,A
senate,26,R,"Bill Reineke",-5,-5,0,10,F
senate,27,R,"Kristina D. Roegner",-5,-5,0,10,F
senate,28,D,"Casey Weinstein",5,5,0,90,A
senate,29,R,"Jane M. Timken",-5,-5,0,10,F
senate,30,R,"Brian M. Chavez",-5,-5,0,10,F
senate,31,R,"Al Landis",-5,-5,0,10,F
senate,32,R,"Sandra O'Brien",-5,-5,0,10,F
senate,33,R,"Al Cutrona",-5,-5,0,10,F
